 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 19779.000,   1,  0.35935345E+10,   0.00000000E+00,  -0.35728893E+10,  -0.11472199E+08,   0.00000000E+00,  -0.80781423E+08,   0.00000000E+00,   0.00000000E+00,  -0.17525457E-08,
 19793.000,   1,  0.36370414E+10,   0.00000000E+00,  -0.36213729E+10,  -0.11643272E+08,   0.00000000E+00,  -0.81460540E+08,   0.00000000E+00,   0.00000000E+00,  -0.10375600E-08,
 19807.000,   1,  0.36842755E+10,   0.00000000E+00,  -0.36680022E+10,  -0.11848900E+08,   0.00000000E+00,  -0.82319342E+08,   0.00000000E+00,   0.00000000E+00,  -0.12374321E-08,
 19821.000,   1,  0.37318236E+10,   0.00000000E+00,  -0.37118763E+10,  -0.12080464E+08,   0.00000000E+00,  -0.83266351E+08,   0.00000000E+00,   0.00000000E+00,  -0.88540781E-09,
 19835.000,   1,  0.37797843E+10,   0.00000000E+00,  -0.37520713E+10,  -0.12346576E+08,   0.00000000E+00,  -0.84536431E+08,   0.00000000E+00,   0.00000000E+00,  -0.10099519E-08,
 19849.000,   1,  0.38266646E+10,   0.00000000E+00,  -0.37929005E+10,  -0.12654147E+08,   0.00000000E+00,  -0.85930905E+08,   0.00000000E+00,   0.00000000E+00,  -0.10103994E-08,
 19863.000,   1,  0.38708515E+10,   0.00000000E+00,  -0.38353213E+10,  -0.13065413E+08,   0.00000000E+00,  -0.88942823E+08,   0.00000000E+00,   0.00000000E+00,  -0.41462302E-09,
 19877.000,   1,  0.39141585E+10,   0.00000000E+00,  -0.38759349E+10,  -0.13498569E+08,   0.00000000E+00,  -0.91954757E+08,   0.00000000E+00,   0.00000000E+00,  -0.10796267E-09,
 19891.000,   1,  0.39493248E+10,   0.00000000E+00,  -0.38998294E+10,  -0.14134204E+08,   0.00000000E+00,  -0.96708697E+08,   0.00000000E+00,   0.00000000E+00,  -0.38097543E-09,
 19905.000,   1,  0.39840690E+10,   0.00000000E+00,  -0.39238934E+10,  -0.14779317E+08,   0.00000000E+00,  -0.10175266E+09,   0.00000000E+00,   0.00000000E+00,  -0.10251415E-08,
 19919.000,   1,  0.40113854E+10,   0.00000000E+00,  -0.39709733E+10,  -0.15573598E+08,   0.00000000E+00,  -0.10693478E+09,   0.00000000E+00,   0.00000000E+00,  -0.54568579E-09,
 19933.000,   1,  0.40378999E+10,   0.00000000E+00,  -0.40205429E+10,  -0.16384032E+08,   0.00000000E+00,  -0.11217237E+09,   0.00000000E+00,   0.00000000E+00,  -0.79187961E-09,
 19947.000,   1,  0.40671011E+10,   0.00000000E+00,  -0.40551996E+10,  -0.17185817E+08,   0.00000000E+00,  -0.11726473E+09,   0.00000000E+00,   0.00000000E+00,  -0.49571257E-09,
 19961.000,   1,  0.40973779E+10,   0.00000000E+00,  -0.40838918E+10,  -0.17984167E+08,   0.00000000E+00,  -0.12221208E+09,   0.00000000E+00,   0.00000000E+00,  -0.41579824E-09,
 19975.000,   1,  0.41267834E+10,   0.00000000E+00,  -0.41111321E+10,  -0.18715978E+08,   0.00000000E+00,  -0.12723887E+09,   0.00000000E+00,   0.00000000E+00,  -0.40640176E-09,
 19989.000,   1,  0.41553187E+10,   0.00000000E+00,  -0.41369215E+10,  -0.19381277E+08,   0.00000000E+00,  -0.13246448E+09,   0.00000000E+00,   0.00000000E+00,  -0.33196794E-10,
 20003.000,   1,  0.41796796E+10,   0.00000000E+00,  -0.41619152E+10,  -0.19973110E+08,   0.00000000E+00,  -0.13712638E+09,   0.00000000E+00,   0.00000000E+00,  -0.73021500E-10,
 20017.000,   1,  0.41965293E+10,   0.00000000E+00,  -0.41854781E+10,  -0.20432756E+08,   0.00000000E+00,  -0.13840855E+09,   0.00000000E+00,   0.00000000E+00,  -0.54502514E-09,
 20031.000,   1,  0.42138611E+10,   0.00000000E+00,  -0.42087184E+10,  -0.20856393E+08,   0.00000000E+00,  -0.13969071E+09,   0.00000000E+00,   0.00000000E+00,  -0.19585694E-09,
 20045.000,   1,  0.42339337E+10,   0.00000000E+00,  -0.42301296E+10,  -0.21075565E+08,   0.00000000E+00,  -0.14023155E+09,   0.00000000E+00,   0.00000000E+00,  -0.79224994E-10,
 20059.000,   1,  0.42540536E+10,   0.00000000E+00,  -0.42516757E+10,  -0.21291995E+08,   0.00000000E+00,  -0.14071539E+09,   0.00000000E+00,   0.00000000E+00,  -0.19603091E-11,
 20073.000,   1,  0.42746488E+10,   0.00000000E+00,  -0.42756952E+10,  -0.21486827E+08,   0.00000000E+00,  -0.14260592E+09,   0.00000000E+00,   0.00000000E+00,   0.14356168E-09,
 20087.000,   1,  0.42952726E+10,   0.00000000E+00,  -0.42998632E+10,  -0.21680364E+08,   0.00000000E+00,  -0.14487998E+09,   0.00000000E+00,   0.00000000E+00,  -0.26780905E-10,
 20101.000,   1,  0.43119419E+10,   0.00000000E+00,  -0.43208654E+10,  -0.21873894E+08,   0.00000000E+00,  -0.14595121E+09,   0.00000000E+00,   0.00000000E+00,   0.27366064E-09,
 20115.000,   1,  0.43275342E+10,   0.00000000E+00,  -0.43410059E+10,  -0.22067436E+08,   0.00000000E+00,  -0.14612055E+09,   0.00000000E+00,   0.00000000E+00,   0.89765767E-09,
 20129.000,   1,  0.43431737E+10,   0.00000000E+00,  -0.43664602E+10,  -0.22212581E+08,   0.00000000E+00,  -0.14641518E+09,   0.00000000E+00,   0.00000000E+00,   0.69527844E-09,
 20143.000,   1,  0.43588504E+10,   0.00000000E+00,  -0.43959023E+10,  -0.22321447E+08,   0.00000000E+00,  -0.14693532E+09,   0.00000000E+00,   0.00000000E+00,   0.68383388E-09,
 20157.000,   1,  0.43754251E+10,   0.00000000E+00,  -0.44206227E+10,  -0.22471781E+08,   0.00000000E+00,  -0.14753320E+09,   0.00000000E+00,   0.00000000E+00,   0.45898026E-09,
 20171.000,   1,  0.43926742E+10,   0.00000000E+00,  -0.44418030E+10,  -0.22653223E+08,   0.00000000E+00,  -0.14827107E+09,   0.00000000E+00,   0.00000000E+00,   0.35900376E-09,
 20185.000,   1,  0.44121350E+10,   0.00000000E+00,  -0.44633892E+10,  -0.22851943E+08,   0.00000000E+00,  -0.14940474E+09,   0.00000000E+00,   0.00000000E+00,   0.52656118E-09,
 20199.000,   1,  0.44355765E+10,   0.00000000E+00,  -0.44857059E+10,  -0.23081762E+08,   0.00000000E+00,  -0.15291250E+09,   0.00000000E+00,   0.00000000E+00,   0.45751877E-09,
 20213.000,   1,  0.44604053E+10,   0.00000000E+00,  -0.45083833E+10,  -0.23334914E+08,   0.00000000E+00,  -0.15642032E+09,   0.00000000E+00,   0.00000000E+00,   0.45199476E-09,
