Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
641.54,9.63,22.22,63
641.54,11.83,22.17,63
641.54,12.56,22.17,63
641.54,13.81,22.11,63
641.54,15.3,22.11,63
641.54,20.51,21.72,63
641.54,21.67,21.61,63
641.54,24.29,21.44,63
641.54,24.38,21.22,63
641.54,26.37,21.17,63
641.54,27.49,21,63
641.54,28.99,20.94,63
641.54,30.72,20.56,63
641.54,30.75,20.5,63
661.48,0.27,20.56,63
661.48,1.65,20.44,63
661.49,3.17,20.33,63
661.49,5,20.28,63
661.49,6.4,20.28,63
661.49,8.08,20.22,63
661.49,9.27,20.22,63
661.49,10.73,20.22,63
661.49,12.77,20.22,63
661.49,13.75,20.22,63
661.49,15.79,20.17,63
661.49,16.82,20.17,63
661.49,18.32,20.17,63
661.49,20.06,20.11,63
661.49,21.34,20.11,63
661.49,22.89,20.06,63
661.49,24.81,19.89,63
661.49,26.03,19.83,63
661.49,27.71,19.83,63
661.49,28.19,19.72,63
675.5,0.06,18.83,63
675.5,3.99,18.44,63
675.5,5.79,18.44,63
675.5,6.04,18.44,63
675.5,9.69,18.44,63
675.5,12.01,18.44,63
675.5,13.72,18.44,63
675.5,14.33,18.39,63
675.5,15.94,18.39,63
675.5,17.74,18.33,63
675.5,19.51,18.28,63
675.5,20.67,18.22,63
675.5,21.76,18.06,63
675.5,23.16,17.67,63
675.5,24.51,17.61,63
675.51,26,17.61,63
675.51,26.37,17.61,63
689.5,2.9,17.11,63
689.5,3.96,17.11,63
689.5,6.55,17.11,63
689.5,7.74,17.11,63
689.5,9.42,17.11,63
689.5,11.7,17.11,63
689.5,14.08,17.11,63
689.5,14.87,17.11,63
689.5,15.97,17.06,63
689.5,17.4,17.06,63
689.5,18.29,16.94,63
689.5,21,16.83,63
689.5,23.04,16.5,63
689.5,23.47,16.33,63
689.5,25.24,16.33,63
718.5,0.06,11.06,63
718.5,1.58,11.06,63
718.5,3.2,11.06,63
718.5,5,11.06,63
718.5,6.52,11.06,63
718.5,8.2,11.06,63
718.5,9.88,11,63
