 JDAY =    5860.49805042540     
QIN:,80.706779,47.933904,.000000,
QTR:,.070000,.000000,.000000,
QDT:,.000000,.000000,.000000,
QWD:,.000000,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
44,1,62,113.113076,.006923,.006924,80.036749,80.040338,-.004485,.603077,.603076,117.888350,117.888342,7.663172,7.663172,.137047,.137046
45,1,62,113.111612,.008388,.008388,80.008549,80.022010,-.016825,.601612,.601612,137.285207,137.285180,7.696275,7.696275,.100831,.100831
46,1,62,113.110598,.009402,.009402,80.009987,80.013695,-.004633,.600598,.600598,130.515059,130.515027,7.702819,7.702819,.098934,.098934
47,1,62,113.110529,.009471,.009471,79.976046,79.990159,-.017647,.600529,.600529,94.324308,94.324229,7.690088,7.690088,.172733,.172738
48,1,62,113.110906,.009095,.009094,79.928198,79.934449,-.007820,.600905,.600906,112.683955,112.683681,7.690873,7.690873,.133904,.133907
49,1,62,113.110688,.009314,.009312,79.704062,79.714557,-.013168,.600686,.600688,143.772468,143.771988,7.690025,7.690025,.115913,.115918
50,1,62,113.111792,.008210,.008208,79.446204,79.452223,-.007576,.601790,.601792,137.748873,137.748251,7.666145,7.666145,.113143,.113148
51,1,62,113.112315,.007688,.007685,79.084624,79.090090,-.006912,.602312,.602315,144.564829,144.564043,7.633228,7.633228,.110495,.110499
52,1,62,113.112817,.007186,.007183,78.657357,78.663148,-.007362,.602814,.602817,148.725042,148.724119,7.593093,7.593093,.113170,.113175
53,1,62,113.113405,.006599,.006595,78.158133,78.162658,-.005790,.603401,.603405,152.707932,152.706904,7.544963,7.544963,.100664,.100668
54,1,62,113.113731,.006273,.006269,77.626356,77.630221,-.004979,.603727,.603731,170.863136,170.861936,7.479371,7.479371,.084495,.084498
55,1,62,113.113940,.006064,.006060,76.953383,76.957137,-.004878,.603936,.603940,181.659817,181.658519,7.454759,7.454759,.091258,.091260
56,1,62,113.114196,.005809,.005804,76.324642,76.326895,-.002951,.604191,.604196,136.420570,136.419590,7.522393,7.522393,.070241,.070242
57,1,62,113.114276,.005729,.005724,75.970180,75.972509,-.003065,.604271,.604276,113.845428,113.844613,7.633900,7.633900,.083064,.083066
58,1,62,113.114201,.005803,.005799,75.504595,75.507689,-.004098,.604197,.604201,91.426014,91.425362,7.746259,7.746259,.137518,.137523
59,1,62,113.114463,.005541,.005537,75.315049,75.317614,-.003406,.604459,.604463,74.662730,74.662206,7.804119,7.804119,.134073,.134077
60,1,62,113.114095,.005909,.005905,74.975368,74.981618,-.008337,.604091,.604095,189.704557,189.703237,7.771394,7.771394,.119989,.119992
61,1,62,113.114201,.005804,.005799,73.983987,73.992232,-.011145,.604196,.604201,244.832301,244.830598,7.667803,7.667803,.117746,.117748
62,1,62,113.114655,.005349,.005345,73.266051,73.271373,-.007264,.604651,.604655,191.890147,191.888814,7.648928,7.648928,.108583,.108585
63,1,62,113.114919,.005085,.005081,72.649074,72.652781,-.005103,.604915,.604919,192.250393,192.249064,7.662014,7.662014,.088927,.088927
64,1,62,113.114971,.005033,.005029,71.931713,71.935983,-.005937,.604967,.604971,219.319842,219.318335,7.698997,7.698997,.089260,.089261
65,1,62,113.114951,.005054,.005049,71.132194,71.137985,-.008140,.604946,.604951,228.812469,228.810902,7.701392,7.701392,.113769,.113770
66,1,62,113.115083,.004921,.004917,70.354944,70.361699,-.009602,.605079,.605083,263.544236,263.542436,7.699573,7.699573,.109255,.109257
67,1,62,113.115217,.004787,.004783,69.322173,69.329243,-.010198,.605213,.605217,287.546348,287.544385,7.652857,7.652857,.108312,.108313
