Date,          JDAY,  AveFol, AveWatt,AveHazel,AveRMTemp( 1.0 ),AveFlowCFS, Miles @60, Miles @65, Miles @68, Miles @70, Miles @75
10/22/2020,     296,   63.36,   63.18,   63.61,   64.54,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/23/2020,     297,   63.14,   63.67,   63.72,   64.84,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/24/2020,     298,   62.41,   64.73,   63.29,   64.40,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/25/2020,     299,   62.12,   64.78,   63.13,   64.21,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/26/2020,     300,   61.87,   64.61,   62.98,   64.04,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/27/2020,     301,   61.38,   63.46,   62.42,   63.27,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/28/2020,     302,   61.16,   63.48,   62.41,   63.31,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/29/2020,     303,   61.00,   63.06,   62.20,   63.00,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/30/2020,     304,   61.60,   62.30,   62.34,   62.95,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
10/31/2020,     305,   61.82,   62.78,   62.79,   63.58,   1561.97,    0.00,   99.00,   99.00,   99.00,   99.00, 3
11/01/2020,     306,   61.49,   61.52,   62.20,   62.54,   1320.06,    0.00,   99.00,   99.00,   99.00,   99.00, 4
11/02/2020,     307,   60.80,   61.45,   61.84,   62.20,   1320.06,    0.00,   99.00,   99.00,   99.00,   99.00, 4
11/03/2020,     308,   60.34,   60.81,   60.93,   60.93,   1320.06,    0.00,   99.00,   99.00,   99.00,   99.00, 4
11/04/2020,     309,   59.88,   60.27,   60.21,   59.97,   1320.06,   14.67,   99.00,   99.00,   99.00,   99.00, 4
11/05/2020,     310,   59.71,   59.55,   59.79,   59.37,   1320.06,   99.00,   99.00,   99.00,   99.00,   99.00, 4
11/06/2020,     311,   60.35,   59.97,   60.70,   60.54,   1320.06,    0.00,   99.00,   99.00,   99.00,   99.00, 4
11/07/2020,     312,   61.26,   60.38,   61.67,   61.70,   1320.06,    0.00,   99.00,   99.00,   99.00,   99.00, 4
11/08/2020,     313,   60.01,   59.50,   60.64,   60.54,   1320.06,    0.00,   99.00,   99.00,   99.00,   99.00, 4
11/09/2020,     314,   59.66,   58.95,   60.14,   59.89,   1320.06,   16.27,    0.00,    0.00,    0.00,    0.00, 4
11/10/2020,     315,   58.94,   58.92,   59.35,   58.94,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/11/2020,     316,   59.24,   60.26,   59.93,   59.67,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/12/2020,     317,   59.06,   59.57,   60.05,   59.90,   1320.06,   20.88,    0.00,    0.00,    0.00,    0.00, 4
11/13/2020,     318,   58.57,   59.79,   60.19,   60.22,   1320.06,   99.00,    0.00,    0.00,    0.00,    0.00, 4
11/14/2020,     319,   58.05,   59.54,   60.20,   60.34,   1320.06,   99.00,    0.00,    0.00,    0.00,    0.00, 4
11/15/2020,     320,   57.66,   59.97,   60.17,   60.38,   1320.06,   99.00,    0.00,    0.00,    0.00,    0.00, 4
11/16/2020,     321,   57.46,   59.84,   60.04,   60.28,   1320.06,   99.00,    0.00,    0.00,    0.00,    0.00, 4
11/17/2020,     322,   57.43,   59.28,   59.87,   60.06,   1320.06,   99.00,    0.00,    0.00,    0.00,    0.00, 4
11/18/2020,     323,   57.30,   58.39,   59.41,   59.44,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/19/2020,     324,   57.49,   56.80,   58.52,   58.10,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/20/2020,     325,   56.84,   57.21,   58.56,   58.38,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/21/2020,     326,   56.48,   55.74,   57.26,   56.60,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/22/2020,     327,   55.92,   55.88,   57.09,   56.54,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/23/2020,     328,   55.76,   55.97,   56.93,   56.36,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/24/2020,     329,   55.67,   55.44,   56.84,   56.27,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/25/2020,     330,   55.57,   56.05,   57.32,   57.07,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/26/2020,     331,   55.31,   55.06,   56.75,   56.31,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/27/2020,     332,   54.46,   55.06,   56.22,   55.88,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/28/2020,     333,   54.35,   54.37,   55.71,   55.15,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/29/2020,     334,   54.13,   54.29,   55.51,   54.95,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
11/30/2020,     335,   53.93,   54.45,   55.51,   55.09,   1320.06,    0.00,    0.00,    0.00,    0.00,    0.00, 4
12/01/2020,     336,   53.84,   53.42,   55.17,   54.61,   1311.94,    0.00,    0.00,    0.00,    0.00,    0.00, 4
12/02/2020,     337,   53.76,   53.23,   55.01,   54.40,   1311.94,    0.00,    0.00,    0.00,    0.00,    0.00, 4
12/03/2020,     338,   53.56,   53.00,   54.76,   54.14,   1311.94,    0.00,    0.00,    0.00,    0.00,    0.00, 4
12/04/2020,     339,   53.57,   51.87,   54.25,   53.25,   1311.94,    0.00,    0.00,    0.00,    0.00,    0.00, 4
12/05/2020,     340,   53.36,   51.75,   54.02,   53.01,   1311.94,    0.00,    0.00,    0.00,    0.00,    0.00, 4
12/06/2020,     341,   53.13,   51.07,   53.53,   52.29,   1311.94,    0.00,    0.00,    0.00,    0.00,    0.00, 4
