 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
  7001.000,   1,  0.59153785E+11,   0.00000000E+00,  -0.60168074E+11,  -0.16191276E+09,  -0.85639754E+09,   0.23353209E+09,   0.18672669E+10,   0.00000000E+00,   0.17564302E-07,
  7015.000,   1,  0.59641010E+11,   0.00000000E+00,  -0.60610900E+11,  -0.16191276E+09,  -0.85707595E+09,   0.23241493E+09,   0.18735884E+10,   0.00000000E+00,   0.94604011E-08,
  7029.000,   1,  0.59925387E+11,   0.00000000E+00,  -0.60790993E+11,  -0.16191276E+09,  -0.85773960E+09,   0.23359873E+09,   0.18823787E+10,   0.00000000E+00,   0.82710903E-08,
  7043.000,   1,  0.60300357E+11,   0.00000000E+00,  -0.61067637E+11,  -0.16191276E+09,  -0.85898769E+09,   0.23414024E+09,   0.18896688E+10,   0.00000000E+00,   0.79968296E-08,
  7057.000,   1,  0.60644239E+11,   0.00000000E+00,  -0.61342478E+11,  -0.16203532E+09,  -0.86044151E+09,   0.23575811E+09,   0.18978283E+10,   0.00000000E+00,   0.71601378E-08,
  7071.000,   1,  0.60953712E+11,   0.00000000E+00,  -0.61615072E+11,  -0.16241609E+09,  -0.86289010E+09,   0.23631149E+09,   0.19050289E+10,   0.00000000E+00,   0.65601773E-08,
  7085.000,   1,  0.61294725E+11,   0.00000000E+00,  -0.61929582E+11,  -0.16261977E+09,  -0.86536391E+09,   0.23613698E+09,   0.19112319E+10,   0.00000000E+00,   0.50724334E-08,
  7099.000,   1,  0.61648373E+11,   0.00000000E+00,  -0.62252742E+11,  -0.16294995E+09,  -0.86811011E+09,   0.23656532E+09,   0.19166695E+10,   0.00000000E+00,   0.51716254E-08,
  7113.000,   1,  0.61957105E+11,   0.00000000E+00,  -0.62585508E+11,  -0.16352167E+09,  -0.87139147E+09,   0.23860455E+09,   0.19202318E+10,   0.00000000E+00,   0.50578056E-08,
  7127.000,   1,  0.62097458E+11,   0.00000000E+00,  -0.62768503E+11,  -0.16413762E+09,  -0.87519434E+09,   0.23895226E+09,   0.19239570E+10,   0.00000000E+00,   0.49740384E-08,
