Natoma temp profiles at dam from tracy mdb 2/13/04				
JDAY		Depth	      TempC	
1235.00	0	0.16	12.12	5/19/2003
1235.00	0	1.53	11.98	5/19/2003
1235.00	0	3.05	11.93	5/19/2003
1235.00	0	4.57	11.73	5/19/2003
1235.00	0	6.1	11.59	5/19/2003
1235.00	0	7.62	11.8	5/19/2003
1235.00	0	9.15	11.69	5/19/2003
1236.00	0	0.16	12.43	5/20/2003
1236.00	0	1.53	12.13	5/20/2003
1236.00	0	3.06	12.16	5/20/2003
1236.00	0	4.58	12.03	5/20/2003
1236.00	0	6.1	11.89	5/20/2003
1236.00	0	7.63	11.97	5/20/2003
1236.00	0	9.15	12.01	5/20/2003
1237.00	0	0.06	12.58	5/21/2003
1237.00	0	1.43	12.13	5/21/2003
1237.00	0	2.95	12.24	5/21/2003
1237.00	0	4.48	12.03	5/21/2003
1237.00	0	6	12.05	5/21/2003
1237.00	0	7.52	12.16	5/21/2003
1237.00	0	9.05	12.01	5/21/2003
1238.00	0	0.16	12.58	5/22/2003
1238.00	0	1.53	12.13	5/22/2003
1238.00	0	3.05	12.3	5/22/2003
1238.00	0	4.58	12.03	5/22/2003
1238.00	0	6.1	11.89	5/22/2003
1238.00	0	7.63	12.14	5/22/2003
1238.00	0	9.15	12.01	5/22/2003
1239.00	0	0.16	12.58	5/23/2003
1239.00	0	1.53	12.29	5/23/2003
1239.00	0	3.06	12.11	5/23/2003
1239.00	0	4.58	12.03	5/23/2003
1239.00	0	6.11	11.89	5/23/2003
1239.00	0	7.63	12.11	5/23/2003
1239.00	0	9.15	12.01	5/23/2003
1240.00	0	0.16	12.89	5/24/2003
1240.00	0	1.53	12.13	5/24/2003
1240.00	0	3.05	12.51	5/24/2003
1240.00	0	4.58	12.19	5/24/2003
1240.00	0	6.1	12.05	5/24/2003
1240.00	0	7.62	12.49	5/24/2003
1240.00	0	9.15	12.16	5/24/2003
1241.00	0	0.16	13.05	5/25/2003
1241.00	0	1.53	12.44	5/25/2003
1241.00	0	3.06	12.76	5/25/2003
1241.00	0	4.58	12.34	5/25/2003
1241.00	0	6.11	12.21	5/25/2003
1241.00	0	7.63	12.57	5/25/2003
1241.00	0	9.15	12.31	5/25/2003
1242.00	0	0.16	12.89	5/26/2003
1242.00	0	1.53	12.29	5/26/2003
1242.00	0	3.05	12.61	5/26/2003
1242.00	0	4.57	12.19	5/26/2003
1242.00	0	6.1	12.05	5/26/2003
1242.00	0	7.62	12.57	5/26/2003
1242.00	0	9.15	12.16	5/26/2003
1243.00	0	0.16	12.58	5/27/2003
1243.00	0	1.53	12.29	5/27/2003
1243.00	0	3.05	12.54	5/27/2003
1243.00	0	4.58	12.19	5/27/2003
1243.00	0	6.1	12.05	5/27/2003
1243.00	0	7.62	12.56	5/27/2003
1243.00	0	9.15	12.01	5/27/2003
1286.00	0	0.23	16.49	7/9/2003
1286.00	0	1.6	15.88	7/9/2003
1286.00	0	3.13	15.34	7/9/2003
1286.00	0	4.65	15.14	7/9/2003
1286.00	0	6.18	14.99	7/9/2003
1286.00	0	7.7	14.99	7/9/2003
1286.00	0	9.22	14.95	7/9/2003
1287.00	0	0.22	15.87	7/10/2003
1287.00	0	1.59	15.56	7/10/2003
1287.00	0	3.12	15.18	7/10/2003
1287.00	0	4.64	15.3	7/10/2003
1287.00	0	6.17	14.99	7/10/2003
1287.00	0	7.69	14.99	7/10/2003
1287.00	0	9.21	15.11	7/10/2003
1288.00	0	0.24	15.55	7/11/2003
1288.00	0	1.61	15.4	7/11/2003
1288.00	0	3.13	15.02	7/11/2003
1288.00	0	4.66	14.98	7/11/2003
1288.00	0	6.18	14.84	7/11/2003
1288.00	0	7.71	14.84	7/11/2003
1288.00	0	9.23	14.95	7/11/2003
1289.00	0	0.22	15.87	7/12/2003
1289.00	0	1.59	15.56	7/12/2003
1289.00	0	3.12	15.34	7/12/2003
1289.00	0	4.64	15.14	7/12/2003
1289.00	0	6.16	14.99	7/12/2003
1289.00	0	7.69	14.99	7/12/2003
1289.00	0	9.21	15.11	7/12/2003
1290.00	0	0.23	16.65	7/13/2003
1290.00	0	1.6	15.72	7/13/2003
1290.00	0	3.13	15.34	7/13/2003
1290.00	0	4.65	15.3	7/13/2003
1290.00	0	6.17	15.16	7/13/2003
1290.00	0	7.7	15.16	7/13/2003
1290.00	0	9.22	15.27	7/13/2003
1291.00	0	0.26	16.02	7/14/2003
1291.00	0	1.63	15.4	7/14/2003
1291.00	0	3.16	15.34	7/14/2003
1291.00	0	4.68	15.46	7/14/2003
1291.00	0	6.2	15.31	7/14/2003
1291.00	0	7.73	15.31	7/14/2003
1291.00	0	9.25	15.42	7/14/2003
1292.00	0	0.24	16.18	7/15/2003
1292.00	0	1.61	15.88	7/15/2003
1292.00	0	3.13	15.49	7/15/2003
1292.00	0	4.66	15.62	7/15/2003
1292.00	0	6.18	15.47	7/15/2003
1292.00	0	7.7	15.47	7/15/2003
1292.00	0	9.23	15.58	7/15/2003
1293.00	0	0.22	16.81	7/16/2003
1293.00	0	1.59	15.56	7/16/2003
1293.00	0	3.12	15.34	7/16/2003
1293.00	0	4.64	15.3	7/16/2003
1293.00	0	6.17	15.16	7/16/2003
1293.00	0	7.69	15.16	7/16/2003
1293.00	0	9.21	15.27	7/16/2003
1294.00	0	0.22	16.49	7/17/2003
1294.00	0	1.59	16.19	7/17/2003
1294.00	0	3.12	15.81	7/17/2003
1294.00	0	4.64	15.78	7/17/2003
1294.00	0	6.17	15.63	7/17/2003
1294.00	0	7.69	15.63	7/17/2003
1294.00	0	9.21	15.58	7/17/2003
1295.00	0	0.24	16.18	7/18/2003
1295.00	0	1.61	15.88	7/18/2003
1295.00	0	3.14	15.81	7/18/2003
1295.00	0	4.66	15.78	7/18/2003
1295.00	0	6.19	15.63	7/18/2003
1295.00	0	7.71	15.63	7/18/2003
1295.00	0	9.23	15.74	7/18/2003
1296.00	0	0.26	16.81	7/19/2003
1296.00	0	1.63	16.03	7/19/2003
1296.00	0	3.15	15.81	7/19/2003
1296.00	0	4.68	15.78	7/19/2003
1296.00	0	6.2	15.63	7/19/2003
1296.00	0	7.72	15.63	7/19/2003
1296.00	0	9.25	15.74	7/19/2003
1297.00	0	0.2	17.61	7/20/2003
1297.00	0	1.58	16.35	7/20/2003
1297.00	0	3.1	16.13	7/20/2003
1297.00	0	4.62	15.93	7/20/2003
1297.00	0	6.15	15.78	7/20/2003
1297.00	0	7.67	15.78	7/20/2003
1297.00	0	9.2	15.9	7/20/2003
1298.00	0	0.21	17.44	7/21/2003
1298.00	0	1.58	16.35	7/21/2003
1298.00	0	3.1	16.13	7/21/2003
1298.00	0	4.63	16.25	7/21/2003
1298.00	0	6.15	16.1	7/21/2003
1298.00	0	7.68	16.1	7/21/2003
1298.00	0	9.2	16.22	7/21/2003
1299.00	0	0.18	16.97	7/22/2003
1299.00	0	1.55	16.35	7/22/2003
1299.00	0	3.07	16.29	7/22/2003
1299.00	0	4.6	16.25	7/22/2003
1299.00	0	6.12	16.1	7/22/2003
1299.00	0	7.64	16.1	7/22/2003
1299.00	0	9.17	16.22	7/22/2003
1300.00	0	0.19	17.61	7/23/2003
1300.00	0	1.56	16.19	7/23/2003
1300.00	0	3.08	15.97	7/23/2003
1300.00	0	4.61	16.09	7/23/2003
1300.00	0	6.13	15.94	7/23/2003
1300.00	0	7.65	15.94	7/23/2003
1300.00	0	9.18	16.06	7/23/2003
1301.00	0	0.11	16.49	7/24/2003
1301.00	0	1.49	16.19	7/24/2003
1301.00	0	3.01	15.97	7/24/2003
1301.00	0	4.53	15.93	7/24/2003
1301.00	0	6.06	15.94	7/24/2003
1301.00	0	7.58	15.94	7/24/2003
1301.00	0	9.11	15.9	7/24/2003
1302.00	0	0.19	16.49	7/25/2003
1302.00	0	1.56	16.35	7/25/2003
1302.00	0	3.08	16.29	7/25/2003
1302.00	0	4.61	16.25	7/25/2003
1302.00	0	6.13	16.1	7/25/2003
1302.00	0	7.66	16.1	7/25/2003
1302.00	0	9.18	16.22	7/25/2003
1303.00	0	0.22	17.13	7/26/2003
1303.00	0	1.59	16.66	7/26/2003
1303.00	0	3.11	16.44	7/26/2003
1303.00	0	4.64	16.56	7/26/2003
1303.00	0	6.16	16.41	7/26/2003
1303.00	0	7.68	16.41	7/26/2003
1303.00	0	9.21	16.53	7/26/2003
1304.00	0	0.16	17.13	7/27/2003
1304.00	0	1.53	16.35	7/27/2003
1304.00	0	3.05	16.13	7/27/2003
1304.00	0	4.58	16.25	7/27/2003
1304.00	0	6.1	16.1	7/27/2003
1304.00	0	7.62	16.1	7/27/2003
1304.00	0	9.15	16.22	7/27/2003
1305.00	0	0.18	16.65	7/28/2003
1305.00	0	1.55	16.35	7/28/2003
1305.00	0	3.07	16.13	7/28/2003
1305.00	0	4.59	16.25	7/28/2003
1305.00	0	6.12	16.26	7/28/2003
1305.00	0	7.64	16.26	7/28/2003
1305.00	0	9.17	16.53	7/28/2003
1306.00	0	0.22	16.81	7/29/2003
1306.00	0	1.59	16.66	7/29/2003
1306.00	0	3.11	16.44	7/29/2003
1306.00	0	4.64	16.41	7/29/2003
1306.00	0	6.16	16.41	7/29/2003
1306.00	0	7.69	16.41	7/29/2003
1306.00	0	9.21	16.37	7/29/2003
1307.00	0	0.17	17.61	7/30/2003
1307.00	0	1.54	16.66	7/30/2003
1307.00	0	3.07	16.61	7/30/2003
1307.00	0	4.59	16.72	7/30/2003
1307.00	0	6.12	16.73	7/30/2003
1307.00	0	7.64	16.73	7/30/2003
1307.00	0	9.16	16.85	7/30/2003
1308.00	0	0.27	17.44	7/31/2003
1308.00	0	1.64	16.66	7/31/2003
1308.00	0	3.17	16.76	7/31/2003
1308.00	0	4.69	17.04	7/31/2003
1308.00	0	6.21	16.88	7/31/2003
1308.00	0	7.74	16.88	7/31/2003
1308.00	0	9.26	17.01	7/31/2003
1309.00	0	0.15	17.29	8/1/2003
1309.00	0	1.52	16.82	8/1/2003
1309.00	0	3.04	16.76	8/1/2003
1309.00	0	4.57	16.72	8/1/2003
1309.00	0	6.09	16.57	8/1/2003
1309.00	0	7.61	16.57	8/1/2003
1309.00	0	9.14	16.69	8/1/2003
1310.00	0	0.16	17.61	8/2/2003
1310.00	0	1.53	16.98	8/2/2003
1310.00	0	3.05	16.76	8/2/2003
1310.00	0	4.58	16.88	8/2/2003
1310.00	0	6.1	16.73	8/2/2003
1310.00	0	7.63	16.73	8/2/2003
1310.00	0	9.15	16.85	8/2/2003
1311.00	0	0.15	17.77	8/3/2003
1311.00	0	1.53	17.14	8/3/2003
1311.00	0	3.05	16.92	8/3/2003
1311.00	0	4.57	17.04	8/3/2003
1311.00	0	6.1	17.04	8/3/2003
1311.00	0	7.62	17.04	8/3/2003
1311.00	0	9.15	17.17	8/3/2003
1312.00	0	0.21	17.77	8/4/2003
1312.00	0	1.58	17.46	8/4/2003
1312.00	0	3.11	17.24	8/4/2003
1312.00	0	4.63	17.52	8/4/2003
1312.00	0	6.16	17.36	8/4/2003
1312.00	0	7.68	17.36	8/4/2003
1312.00	0	9.2	17.81	8/4/2003
1313.00	0	0.19	18.09	8/5/2003
1313.00	0	1.56	17.78	8/5/2003
1313.00	0	3.09	17.56	8/5/2003
1313.00	0	4.61	17.68	8/5/2003
1313.00	0	6.13	17.68	8/5/2003
1313.00	0	7.66	17.68	8/5/2003
1313.00	0	9.18	17.81	8/5/2003
1314.00	0	0.17	18.25	8/6/2003
1314.00	0	1.54	17.78	8/6/2003
1314.00	0	3.06	17.56	8/6/2003
1314.00	0	4.59	18	8/6/2003
1314.00	0	6.11	17.84	8/6/2003
1314.00	0	7.63	17.84	8/6/2003
1314.00	0	9.16	17.97	8/6/2003
1315.00	0	0.18	17.77	8/7/2003
1315.00	0	1.55	17.46	8/7/2003
1315.00	0	3.07	17.08	8/7/2003
1315.00	0	4.59	17.68	8/7/2003
1315.00	0	6.12	17.68	8/7/2003
1315.00	0	7.64	17.68	8/7/2003
1315.00	0	9.17	17.81	8/7/2003
1316.00	0	0.17	17.77	8/8/2003
1316.00	0	1.55	17.14	8/8/2003
1316.00	0	3.07	16.92	8/8/2003
1316.00	0	4.59	17.36	8/8/2003
1316.00	0	6.12	17.21	8/8/2003
1316.00	0	7.64	17.21	8/8/2003
1316.00	0	9.17	17.33	8/8/2003
1317.00	0	0.2	17.77	8/9/2003
1317.00	0	1.57	17.3	8/9/2003
1317.00	0	3.09	17.24	8/9/2003
1317.00	0	4.62	17.36	8/9/2003
1317.00	0	6.14	17.21	8/9/2003
1317.00	0	7.67	17.21	8/9/2003
1317.00	0	9.19	17.33	8/9/2003
1318.00	0	0.2	19.06	8/10/2003
1318.00	0	1.57	17.62	8/10/2003
1318.00	0	3.09	17.4	8/10/2003
1318.00	0	4.62	17.52	8/10/2003
1318.00	0	6.14	17.36	8/10/2003
1318.00	0	7.66	17.36	8/10/2003
1318.00	0	9.19	17.49	8/10/2003
1319.00	0	0.19	18.25	8/11/2003
1319.00	0	1.56	17.46	8/11/2003
1319.00	0	3.09	17.4	8/11/2003
1319.00	0	4.61	17.52	8/11/2003
1319.00	0	6.14	17.36	8/11/2003
1319.00	0	7.66	17.36	8/11/2003
1319.00	0	9.18	17.49	8/11/2003
1320.00	0	0.22	19.55	8/12/2003
1320.00	0	1.59	19.23	8/12/2003
1320.00	0	3.12	17.88	8/12/2003
1320.00	0	4.64	17.2	8/12/2003
1320.00	0	6.16	16.1	8/12/2003
1320.00	0	7.69	16.1	8/12/2003
1320.00	0	9.21	16.22	8/12/2003
1321.00	0	0.16	16.34	8/13/2003
1321.00	0	1.53	14.93	8/13/2003
1321.00	0	3.06	14.7	8/13/2003
1321.00	0	4.58	14.67	8/13/2003
1321.00	0	6.1	14.52	8/13/2003
1321.00	0	7.63	14.52	8/13/2003
1321.00	0	9.15	14.63	8/13/2003
1322.00	0	0.16	15.39	8/14/2003
1322.00	0	1.53	15.08	8/14/2003
1322.00	0	3.06	14.7	8/14/2003
1322.00	0	4.58	14.83	8/14/2003
1322.00	0	6.11	14.68	8/14/2003
1322.00	0	7.63	14.68	8/14/2003
1322.00	0	9.15	14.79	8/14/2003
1323.00	0	0.17	15.55	8/15/2003
1323.00	0	1.54	14.93	8/15/2003
1323.00	0	3.06	14.86	8/15/2003
1323.00	0	4.59	14.67	8/15/2003
1323.00	0	6.11	14.52	8/15/2003
1323.00	0	7.63	14.52	8/15/2003
1323.00	0	9.16	14.63	8/15/2003
1324.00	0	0.16	16.49	8/16/2003
1324.00	0	1.53	15.08	8/16/2003
1324.00	0	3.06	14.86	8/16/2003
1324.00	0	4.58	14.67	8/16/2003
1324.00	0	6.11	14.52	8/16/2003
1324.00	0	7.63	14.52	8/16/2003
1324.00	0	9.15	14.63	8/16/2003
1325.00	0	0.14	18.9	8/17/2003
1325.00	0	1.52	15.24	8/17/2003
1325.00	0	3.04	14.86	8/17/2003
1325.00	0	4.56	14.67	8/17/2003
1325.00	0	6.09	14.52	8/17/2003
1325.00	0	7.61	14.52	8/17/2003
1325.00	0	9.14	14.63	8/17/2003
1326.00	0	0.14	15.87	8/18/2003
1326.00	0	1.51	15.4	8/18/2003
1326.00	0	3.04	14.86	8/18/2003
1326.00	0	4.56	14.67	8/18/2003
1326.00	0	6.08	14.52	8/18/2003
1326.00	0	7.61	14.52	8/18/2003
1326.00	0	9.13	14.63	8/18/2003
1327.00	0	0.24	16.18	8/19/2003
1327.00	0	1.61	15.08	8/19/2003
1327.00	0	3.14	15.02	8/19/2003
1327.00	0	4.66	14.98	8/19/2003
1327.00	0	6.18	14.84	8/19/2003
1327.00	0	7.71	14.84	8/19/2003
1327.00	0	9.23	14.95	8/19/2003
1328.00	0	0.14	16.65	8/20/2003
1328.00	0	1.51	15.4	8/20/2003
1328.00	0	3.04	15.34	8/20/2003
1328.00	0	4.56	15.14	8/20/2003
1328.00	0	6.09	14.99	8/20/2003
1328.00	0	7.61	14.99	8/20/2003
1328.00	0	9.13	15.11	8/20/2003
1329.00	0	0.15	17.77	8/21/2003
1329.00	0	1.53	15.72	8/21/2003
1329.00	0	3.05	15.18	8/21/2003
1329.00	0	4.57	15.3	8/21/2003
1329.00	0	6.1	14.99	8/21/2003
1329.00	0	7.62	14.99	8/21/2003
1329.00	0	9.15	15.11	8/21/2003
1330.00	0	0.24	18.09	8/22/2003
1330.00	0	1.61	15.56	8/22/2003
1330.00	0	3.14	15.18	8/22/2003
1330.00	0	4.66	15.3	8/22/2003
1330.00	0	6.19	15.31	8/22/2003
1330.00	0	7.71	15.31	8/22/2003
1330.00	0	9.23	15.42	8/22/2003
1331.00	0	0.13	15.87	8/23/2003
1331.00	0	1.5	15.4	8/23/2003
1331.00	0	3.02	15.18	8/23/2003
1331.00	0	4.55	15.14	8/23/2003
1331.00	0	6.07	14.99	8/23/2003
1331.00	0	7.6	14.99	8/23/2003
1331.00	0	9.12	15.11	8/23/2003
1332.00	0	0.14	18.41	8/24/2003
1332.00	0	1.52	15.56	8/24/2003
1332.00	0	3.04	15.34	8/24/2003
1332.00	0	4.56	14.98	8/24/2003
1332.00	0	6.09	14.84	8/24/2003
1332.00	0	7.61	14.84	8/24/2003
1332.00	0	9.14	14.95	8/24/2003
1333.00	0	0.13	16.34	8/25/2003
1333.00	0	1.5	15.88	8/25/2003
1333.00	0	3.02	15.18	8/25/2003
1333.00	0	4.55	15.14	8/25/2003
1333.00	0	6.07	14.99	8/25/2003
1333.00	0	7.59	14.99	8/25/2003
1333.00	0	9.12	15.11	8/25/2003
1334.00	0	0.15	16.65	8/26/2003
1334.00	0	1.52	15.72	8/26/2003
1334.00	0	3.05	15.34	8/26/2003
1334.00	0	4.57	15.3	8/26/2003
1334.00	0	6.09	15.16	8/26/2003
1334.00	0	7.62	15.16	8/26/2003
1334.00	0	9.14	15.27	8/26/2003
1335.00	0	0.13	16.02	8/27/2003
1335.00	0	1.5	15.56	8/27/2003
1335.00	0	3.02	15.34	8/27/2003
1335.00	0	4.55	15.3	8/27/2003
1335.00	0	6.07	15.16	8/27/2003
1335.00	0	7.59	15.16	8/27/2003
1335.00	0	9.12	15.27	8/27/2003
1336.00	0	0.14	17.13	8/28/2003
1336.00	0	1.51	15.88	8/28/2003
1336.00	0	3.04	15.66	8/28/2003
1336.00	0	4.56	15.46	8/28/2003
1336.00	0	6.08	15.31	8/28/2003
1336.00	0	7.61	15.31	8/28/2003
1336.00	0	9.13	15.42	8/28/2003
1337.00	0	0.15	18.25	8/29/2003
1337.00	0	1.52	16.03	8/29/2003
1337.00	0	3.04	15.66	8/29/2003
1337.00	0	4.57	15.62	8/29/2003
1337.00	0	6.09	15.47	8/29/2003
1337.00	0	7.62	15.47	8/29/2003
1337.00	0	9.14	15.58	8/29/2003
1338.00	0	0.15	16.65	8/30/2003
1338.00	0	1.52	16.19	8/30/2003
1338.00	0	3.05	15.66	8/30/2003
1338.00	0	4.57	15.62	8/30/2003
1338.00	0	6.1	15.47	8/30/2003
1338.00	0	7.62	15.47	8/30/2003
1338.00	0	9.14	15.58	8/30/2003
1339.00	0	0.15	16.65	8/31/2003
1339.00	0	1.52	16.03	8/31/2003
1339.00	0	3.04	15.66	8/31/2003
1339.00	0	4.57	15.62	8/31/2003
1339.00	0	6.09	15.47	8/31/2003
1339.00	0	7.62	15.47	8/31/2003
1339.00	0	9.14	15.58	8/31/2003
1340.00	0	0.15	18.9	9/1/2003
1340.00	0	1.52	16.19	9/1/2003
1340.00	0	3.05	15.81	9/1/2003
1340.00	0	4.57	15.78	9/1/2003
1340.00	0	6.09	15.63	9/1/2003
1340.00	0	7.62	15.63	9/1/2003
1340.00	0	9.14	15.74	9/1/2003
1341.00	0	0.05	18.9	9/2/2003
1341.00	0	1.42	16.35	9/2/2003
1341.00	0	2.94	15.97	9/2/2003
1341.00	0	4.47	15.78	9/2/2003
1341.00	0	5.99	15.78	9/2/2003
1341.00	0	7.52	15.78	9/2/2003
1341.00	0	9.04	15.74	9/2/2003
1342.00	0	0.18	16.65	9/3/2003
1342.00	0	1.55	16.19	9/3/2003
1342.00	0	3.07	15.97	9/3/2003
1342.00	0	4.6	15.93	9/3/2003
1342.00	0	6.12	15.78	9/3/2003
1342.00	0	7.65	15.78	9/3/2003
1342.00	0	9.17	15.9	9/3/2003
1343.00	0	0.17	16.65	9/4/2003
1343.00	0	1.54	16.03	9/4/2003
1343.00	0	3.06	15.81	9/4/2003
1343.00	0	4.59	15.93	9/4/2003
1343.00	0	6.11	15.78	9/4/2003
1343.00	0	7.63	15.78	9/4/2003
1343.00	0	9.16	15.9	9/4/2003
1344.00	0	0.17	17.29	9/5/2003
1344.00	0	1.55	16.03	9/5/2003
1344.00	0	3.07	15.97	9/5/2003
1344.00	0	4.59	15.93	9/5/2003
1344.00	0	6.12	15.78	9/5/2003
1344.00	0	7.64	15.78	9/5/2003
1344.00	0	9.17	15.9	9/5/2003
1345.00	0	0.2	16.49	9/6/2003
1345.00	0	1.58	16.03	9/6/2003
1345.00	0	3.1	15.97	9/6/2003
1345.00	0	4.62	15.93	9/6/2003
1345.00	0	6.15	15.94	9/6/2003
1345.00	0	7.67	15.94	9/6/2003
1345.00	0	9.2	15.9	9/6/2003
1346.00	0	0.18	17.93	9/7/2003
1346.00	0	1.55	16.19	9/7/2003
1346.00	0	3.07	15.97	9/7/2003
1346.00	0	4.6	15.93	9/7/2003
1346.00	0	6.12	15.78	9/7/2003
1346.00	0	7.65	15.78	9/7/2003
1346.00	0	9.17	15.9	9/7/2003
1347.00	0	0.24	17.61	9/8/2003
1347.00	0	1.61	16.03	9/8/2003
1347.00	0	3.14	15.97	9/8/2003
1347.00	0	4.66	15.93	9/8/2003
1347.00	0	6.19	15.78	9/8/2003
1347.00	0	7.71	15.78	9/8/2003
1347.00	0	9.23	15.9	9/8/2003
1348.00	0	0.19	17.93	9/9/2003
1348.00	0	1.56	16.03	9/9/2003
1348.00	0	3.08	15.81	9/9/2003
1348.00	0	4.6	15.93	9/9/2003
1348.00	0	6.13	15.78	9/9/2003
1348.00	0	7.65	15.78	9/9/2003
1348.00	0	9.18	15.9	9/9/2003
1349.00	0	0.24	16.65	9/10/2003
1349.00	0	1.61	16.03	9/10/2003
1349.00	0	3.13	15.97	9/10/2003
1349.00	0	4.66	16.09	9/10/2003
1349.00	0	6.18	15.94	9/10/2003
1349.00	0	7.7	15.94	9/10/2003
1349.00	0	9.23	16.06	9/10/2003
1350.00	0	0.18	17.13	9/11/2003
1350.00	0	1.55	16.35	9/11/2003
1350.00	0	3.07	15.97	9/11/2003
1350.00	0	4.6	15.93	9/11/2003
1350.00	0	6.12	15.78	9/11/2003
1350.00	0	7.65	15.78	9/11/2003
1350.00	0	9.17	15.9	9/11/2003
1351.00	0	0.15	18.09	9/12/2003
1351.00	0	1.52	16.35	9/12/2003
1351.00	0	3.05	16.13	9/12/2003
1351.00	0	4.57	16.09	9/12/2003
1351.00	0	6.1	15.94	9/12/2003
1351.00	0	7.62	15.94	9/12/2003
1351.00	0	9.14	16.06	9/12/2003
1352.00	0	0.16	17.77	9/13/2003
1352.00	0	1.53	16.35	9/13/2003
1352.00	0	3.05	16.13	9/13/2003
1352.00	0	4.58	16.09	9/13/2003
1352.00	0	6.1	16.1	9/13/2003
1352.00	0	7.62	16.1	9/13/2003
1352.00	0	9.15	16.06	9/13/2003
1353.00	0	0.15	16.81	9/14/2003
1353.00	0	1.52	16.35	9/14/2003
1353.00	0	3.04	16.29	9/14/2003
1353.00	0	4.57	16.25	9/14/2003
1353.00	0	6.09	16.1	9/14/2003
1353.00	0	7.61	16.1	9/14/2003
1353.00	0	9.14	16.22	9/14/2003
1354.00	0	0.22	16.65	9/15/2003
1354.00	0	1.6	16.35	9/15/2003
1354.00	0	3.12	16.29	9/15/2003
1354.00	0	4.64	16.25	9/15/2003
1354.00	0	6.17	16.1	9/15/2003
1354.00	0	7.69	16.1	9/15/2003
1354.00	0	9.22	16.22	9/15/2003
1355.00	0	0.14	16.65	9/16/2003
1355.00	0	1.52	16.51	9/16/2003
1355.00	0	3.04	16.44	9/16/2003
1355.00	0	4.56	16.25	9/16/2003
1355.00	0	6.09	16.1	9/16/2003
1355.00	0	7.61	16.1	9/16/2003
1355.00	0	9.14	16.22	9/16/2003
1356.00	0	0.28	17.93	9/17/2003
1356.00	0	1.65	17.3	9/17/2003
1356.00	0	3.17	16.61	9/17/2003
1356.00	0	4.7	16.41	9/17/2003
1356.00	0	6.22	16.26	9/17/2003
1356.00	0	7.74	16.26	9/17/2003
1356.00	0	9.27	16.37	9/17/2003
1357.00	0	0.19	16.97	9/18/2003
1357.00	0	1.56	16.51	9/18/2003
1357.00	0	3.09	16.29	9/18/2003
1357.00	0	4.61	16.41	9/18/2003
1357.00	0	6.14	16.26	9/18/2003
1357.00	0	7.66	16.26	9/18/2003
1357.00	0	9.18	16.37	9/18/2003
1358.00	0	0.16	17.13	9/19/2003
1358.00	0	1.54	16.51	9/19/2003
1358.00	0	3.06	16.44	9/19/2003
1358.00	0	4.58	16.41	9/19/2003
1358.00	0	6.11	16.26	9/19/2003
1358.00	0	7.63	16.26	9/19/2003
1358.00	0	9.16	16.37	9/19/2003
1359.00	0	0.23	17.29	9/20/2003
1359.00	0	1.6	16.51	9/20/2003
1359.00	0	3.12	16.29	9/20/2003
1359.00	0	4.65	16.25	9/20/2003
1359.00	0	6.17	16.26	9/20/2003
1359.00	0	7.69	16.26	9/20/2003
1359.00	0	9.22	16.22	9/20/2003
1360.00	0	0.17	18.41	9/21/2003
1360.00	0	1.54	16.66	9/21/2003
1360.00	0	3.07	16.44	9/21/2003
1360.00	0	4.59	16.41	9/21/2003
1360.00	0	6.11	16.26	9/21/2003
1360.00	0	7.64	16.26	9/21/2003
1360.00	0	9.16	16.37	9/21/2003
1361.00	0	0.16	17.44	9/22/2003
1361.00	0	1.53	16.66	9/22/2003
1361.00	0	3.05	16.44	9/22/2003
1361.00	0	4.58	16.41	9/22/2003
1361.00	0	6.1	16.41	9/22/2003
1361.00	0	7.62	16.41	9/22/2003
1361.00	0	9.15	16.37	9/22/2003
1362.00	0	0.17	18.25	9/23/2003
1362.00	0	1.54	16.66	9/23/2003
1362.00	0	3.07	16.44	9/23/2003
1362.00	0	4.59	16.41	9/23/2003
1362.00	0	6.11	16.26	9/23/2003
1362.00	0	7.64	16.26	9/23/2003
1362.00	0	9.16	16.37	9/23/2003
1363.00	0	0.14	18.41	9/24/2003
1363.00	0	1.51	16.51	9/24/2003
1363.00	0	3.04	16.44	9/24/2003
1363.00	0	4.56	16.41	9/24/2003
1363.00	0	6.09	16.26	9/24/2003
1363.00	0	7.61	16.26	9/24/2003
1363.00	0	9.13	16.37	9/24/2003
1364.00	0	0.32	18.09	9/25/2003
1364.00	0	1.69	17.14	9/25/2003
1364.00	0	3.21	16.76	9/25/2003
1364.00	0	4.74	16.56	9/25/2003
1364.00	0	6.26	16.41	9/25/2003
1364.00	0	7.78	16.41	9/25/2003
1364.00	0	9.31	16.53	9/25/2003
1365.00	0	0.16	18.09	9/26/2003
1365.00	0	1.53	16.82	9/26/2003
1365.00	0	3.05	16.61	9/26/2003
1365.00	0	4.58	16.56	9/26/2003
1365.00	0	6.1	16.57	9/26/2003
1365.00	0	7.62	16.57	9/26/2003
1365.00	0	9.15	16.69	9/26/2003
1366.00	0	0.16	17.93	9/27/2003
1366.00	0	1.53	16.98	9/27/2003
1366.00	0	3.06	16.76	9/27/2003
1366.00	0	4.58	16.72	9/27/2003
1366.00	0	6.11	16.57	9/27/2003
1366.00	0	7.63	16.57	9/27/2003
1366.00	0	9.15	16.69	9/27/2003
1367.00	0	0.18	18.09	9/28/2003
1367.00	0	1.55	16.82	9/28/2003
1367.00	0	3.07	16.76	9/28/2003
1367.00	0	4.6	16.72	9/28/2003
