$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35,
  0.3048,     0.000,   167.709,   181.708,   109.036,    86.205,    97.112,   171.135,   193.465,   203.649,   202.646,   176.443,   194.179,   571.437,   514.051,   476.686,   487.064,   469.477,   768.450,   316.015,   521.047,   458.524,   527.729,   618.379,   521.255,   524.276,   976.452,   504.002,   596.529,   683.322,  1009.540,  1045.556,  1049.043,   639.965,   621.451,     0.000, 13
  0.3048,     0.000,   164.161,   177.864,    94.870,    84.381,    95.057,   167.514,   177.537,   199.341,   198.359,   172.711,   190.071,   559.348,   503.176,   466.602,   476.760,   459.545,   740.349,   309.329,   510.024,   436.854,   510.626,   605.297,   510.228,   513.185,   955.795,   493.340,   583.909,   668.866,   988.183,  1023.437,  1026.850,   626.426,   608.305,     0.000, 14
  0.3048,     0.000,   161.074,   174.519,    81.450,    82.794,    93.270,   164.364,   174.199,   184.088,   194.629,   169.463,   186.497,   496.837,   493.714,   457.828,   467.794,   439.192,   714.805,   303.513,   500.433,   428.639,   489.371,   593.915,   500.633,   503.535,   937.821,   484.063,   572.929,   656.289,   969.601,  1004.192,  1001.681,   614.646,   596.866,     0.000, 15
  0.3048,     0.000,   157.346,   170.480,    79.564,    80.878,    91.111,   160.560,   158.820,   179.827,   190.124,   165.540,   182.180,   462.764,   482.286,   447.231,   456.967,   429.026,   698.259,   296.487,   488.850,   418.718,   478.044,   568.679,   489.045,   491.880,   916.114,   472.859,   559.668,   641.098,   947.158,   980.948,   978.496,   600.419,   583.050,     0.000, 16
  0.3048,     0.000,   153.971,   166.824,    77.858,    73.002,    78.013,   145.892,   155.415,   175.970,   186.047,   161.990,   178.273,   452.840,   460.838,   426.420,   447.167,   419.826,   683.285,   290.129,   478.366,   409.738,   445.517,   556.483,   478.558,   481.331,   896.468,   462.718,   547.665,   627.349,   926.846,   959.911,   957.512,   587.543,   570.547,     0.000, 17
  0.3048,     0.000,   150.354,   162.904,    76.029,    71.287,    76.180,   142.464,   151.763,   171.836,   181.675,   158.184,   174.084,   420.627,   450.010,   416.400,   431.269,   409.961,   656.381,   283.312,   467.126,   400.111,   435.048,   532.431,   467.313,   470.021,   875.403,   451.846,   534.797,   612.608,   905.067,   937.356,   935.013,   573.738,   557.140,     0.000, 18
  0.3048,     0.000,   146.586,   158.822,    74.124,    69.501,    74.272,   138.894,   147.960,   167.530,   177.123,   154.221,   169.723,   399.571,   438.735,   395.285,   409.953,   399.689,   639.935,   276.213,   455.422,   390.085,   424.148,   519.091,   455.604,   458.244,   853.469,   440.524,   516.077,   597.259,   882.390,   913.870,   911.585,   554.083,   543.181,     0.000, 19
  0.3048,     0.000,   142.922,   154.852,    72.271,    67.763,    72.415,   135.422,   133.957,   163.342,   162.536,   140.341,   165.480,   389.583,   427.767,   385.404,   399.705,   389.698,   613.623,   269.309,   444.037,   380.334,   413.545,   506.115,   444.215,   446.789,   832.134,   429.512,   503.177,   582.329,   860.332,   891.025,   888.798,   540.232,   529.602,     0.000, 20
  0.3048,     0.000,   139.230,   150.852,    70.404,    66.013,    70.544,   131.924,   130.497,   159.123,   158.337,   136.716,   161.205,   359.542,   416.718,   375.449,   389.381,   379.632,   597.773,   262.352,   432.568,   370.510,   402.863,   482.878,   432.741,   435.249,   810.640,   418.418,   490.179,   567.287,   838.110,   868.010,   865.840,   526.278,   515.923,     0.000, 21
  0.3048,     0.000,   126.441,   147.533,    68.855,    64.560,    68.992,   129.021,   117.809,   145.896,   154.853,   133.708,   157.658,   351.630,   387.908,   357.262,   371.047,   371.278,   584.620,   256.579,   423.049,   362.357,   384.149,   472.252,   423.219,   425.671,   792.803,   409.211,   479.393,   554.804,   819.668,   848.910,   836.883,   504.893,   504.570,     0.000, 22
  0.3048,     0.000,   123.759,   134.777,    67.394,    63.191,    67.529,   116.571,   115.310,   142.802,   151.569,   121.524,   154.314,   344.172,   379.681,   349.685,   363.177,   353.713,   562.603,   251.137,   404.335,   354.672,   376.002,   437.906,   414.242,   416.643,   775.987,   400.531,   469.225,   543.037,   802.282,   830.904,   819.132,   494.184,   493.868,     0.000, 23
